,power_residuals_under,power_residuals_over,power_undersupply,sourceout_residuals_under,sourceout_residuals_over,sourceout_undersupply,enrichmentout_residuals_under,enrichmentout_residuals_over,enrichmentout_undersupply,mixerout_residuals_under,mixerout_residuals_over,mixerout_undersupply,lwrpu_residuals_under,lwrpu_residuals_over,lwrpu_undersupply,frpu_residuals_under,frpu_residuals_over,frpu_undersupply
arma,67654.5200000042,1036469.21999988,19,0,1426045988088.25,0,0,143029941391.354,0,0,1425654904.52013,0,1379766198.03981,20883.3537454278,1,423955720.289635,9127.2089451608,1
exp_smoothing,70987.0200000045,1473477.05999987,21,0,2864045914955.58,0,0,143029941391.354,0,0,1343993962.99445,0,1379766198.03981,20883.3537454278,1,423884981.518169,9127.2089451608,1
fft,120333.22,1751829.03999988,3,0,1425046990201.03,0,16126182,142929941391.354,1,0,1344198081.59912,0,1378766246.4949,20883.3537454278,1,423830976.649629,6845.3130913884,1
ma,79987.8000000043,920466.599999884,21,0,1426046012157.25,0,0,143029941391.354,0,0,690472233.264664,0,1379766198.03981,20883.3537454278,1,423981581.775977,4563.4172376161,1
poly,60333.2200000001,1783496.33999985,2,0,1426045839045.67,0,0,143029941391.354,0,0,1235267302.00292,0,1379766198.03981,20883.3537454278,1,423827934.121823,7605.9450426458,1
,,,,,,,,,,,,,,,,,,
arma,7654.5200000042,,18,,,,,,,,,,,,,,,
exp_smoothing,10987.0200000045,,20,,,,,,,,,,,,,,,
fft,60333.2200000001,,2,,,,,,,,,,,,,,,
ma,19987.8000000043,,20,,,,,,,,,,,,,,,
poly,333.2200000001,,1,,,,,,,,,,,,,,,
